ID_REF	VALUE	ABS_CALL	DETECTION P-VALUE
200049_at	311.209	P	0.000244141
200050_at	903.57	P	0.000732422
200051_at	286.795	P	0.000244141
200052_s_at	652.472	P	0.000244141
200053_at	584.801	P	0.000244141
200054_at	130.984	P	0.0012207
200055_at	1087.34	P	0.000244141
200056_s_at	426.442	P	0.000244141
200057_s_at	3069.08	P	0.000244141
200058_s_at	1251.61	P	0.000244141
200059_s_at	5406.81	P	0.000244141
200060_s_at	1449.51	P	0.000244141
200061_s_at	9653.48	P	0.000244141
200062_s_at	12781.2	P	0.000244141
200063_s_at	6956.25	P	0.000244141
200064_at	2538.83	P	0.000244141
200065_s_at	2483.64	P	0.000244141
200066_at	745.104	P	0.000244141
200067_x_at	1849.74	P	0.000244141
200068_s_at	1673.01	P	0.000244141
200069_at	330.571	P	0.000244141
200070_at	324.648	P	0.000244141
200071_at	869.953	P	0.000244141
200072_s_at	1465.02	P	0.000244141
200073_s_at	2095.31	P	0.000244141
200074_s_at	5967.12	P	0.000244141
200075_s_at	696.221	P	0.000244141
200076_s_at	323.79	P	0.000732422
200077_s_at	7717.45	P	0.000244141
200078_s_at	853.972	P	0.000244141
200079_s_at	1209.21	P	0.000244141
200080_s_at	8158.96	P	0.000244141
200081_s_at	10852.2	P	0.000244141
200082_s_at	8634.48	P	0.000244141
200083_at	508.923	P	0.000244141
200084_at	1244.81	P	0.000244141
200085_s_at	1410.82	P	0.000244141
200086_s_at	3171.58	P	0.000244141
200087_s_at	1732.39	P	0.000244141
200088_x_at	10437.5	P	0.000244141
200089_s_at	8146.58	P	0.000244141
200090_at	2041.69	P	0.000244141
200091_s_at	8528.53	P	0.000244141
200092_s_at	11069.4	P	0.000244141
200093_s_at	2383.41	P	0.000244141
200094_s_at	7278.58	P	0.000244141
200095_x_at	12382.1	P	0.000244141
200096_s_at	2387.9	P	0.000244141
200097_s_at	2292.67	P	0.000244141
200098_s_at	1326.87	P	0.000244141
200099_s_at	13426.3	P	0.000244141
200593_s_at	1049.65	P	0.000244141
200594_x_at	2000.07	P	0.000244141
200595_s_at	1885.38	P	0.000244141
200596_s_at	608.682	P	0.000244141
200597_at	268.794	P	0.000244141
200598_s_at	877.731	P	0.000244141
200599_s_at	1997.74	P	0.000244141
200600_at	3446.97	P	0.000244141
200601_at	431.566	P	0.000244141
200602_at	171.887	P	0.000244141
200603_at	1940.56	P	0.000244141
200604_s_at	752.887	P	0.000244141
200605_s_at	2145.53	P	0.000244141
200606_at	60.993	P	0.00195313
200607_s_at	674.999	P	0.000244141
200608_s_at	1834.71	P	0.000244141
200609_s_at	2028.9	P	0.000244141
200610_s_at	1809.54	P	0.000244141
200611_s_at	1692.61	P	0.000244141
200612_s_at	389.66	P	0.000244141
200613_at	1076.56	P	0.000244141
200614_at	1877.05	P	0.000244141
200615_s_at	222.065	P	0.000244141
200616_s_at	224.262	P	0.000244141
200617_at	273.342	P	0.000244141
200618_at	1665.14	P	0.000244141
200619_at	534.558	P	0.00805664
200620_at	1755.3	P	0.000244141
200621_at	263.504	P	0.000244141
200622_x_at	417.121	P	0.000244141
200623_s_at	389.878	P	0.000244141
200624_s_at	1597.41	P	0.000244141
200625_s_at	3555.83	P	0.000244141
200626_s_at	2293.82	P	0.000244141
200627_at	3479.6	P	0.000244141
200628_s_at	483.076	P	0.00805664
200629_at	642.714	P	0.000244141
200630_x_at	2491.52	P	0.000244141
200631_s_at	1892.31	P	0.000244141
200632_s_at	333.558	P	0.000732422
200633_at	7920.51	P	0.000244141
200634_at	4913.74	P	0.000244141
200635_s_at	2.48852	A	0.888428
200636_s_at	2.73688	A	0.870361
200637_s_at	2.26944	A	0.688721
200638_s_at	3346.66	P	0.000244141
200639_s_at	3132.03	P	0.000244141
200640_at	3083.25	P	0.000244141
200641_s_at	2711.72	P	0.000244141
200642_at	2128.1	P	0.000244141
200643_at	159.929	P	0.000732422
200644_at	421.564	P	0.000244141
200645_at	3441.54	P	0.000244141
200646_s_at	184.601	P	0.000732422
200647_x_at	2203.82	P	0.0012207
200648_s_at	408.906	P	0.00292969
200649_at	270.236	P	0.000244141
200650_s_at	2135.24	P	0.000244141
200651_at	9054.68	P	0.000244141
200652_at	2077.91	P	0.000244141
200653_s_at	5776.26	P	0.000244141
200654_at	1436.14	P	0.00805664
200655_s_at	3785.43	P	0.000244141
200656_s_at	686.403	P	0.000732422
200657_at	2359.99	P	0.000244141
200658_s_at	401.106	P	0.000244141
200659_s_at	165.75	P	0.000244141
200660_at	1729.25	P	0.000732422
200661_at	895.912	P	0.000244141
200662_s_at	1223.98	P	0.000244141
200663_at	1048.16	P	0.000244141
200664_s_at	503.444	P	0.000732422
200665_s_at	583.725	P	0.000244141
200666_s_at	758.981	P	0.000244141
200667_at	1244.25	P	0.000244141
200668_s_at	3662.64	P	0.000244141
200669_s_at	1719.79	P	0.000244141
200670_at	847.033	P	0.000244141
200671_s_at	107.005	P	0.0302734
200672_x_at	283.425	P	0.000244141
200673_at	1454.99	P	0.000244141
200674_s_at	9189.94	P	0.000244141
200675_at	1104.97	P	0.000244141
200676_s_at	149.575	P	0.000732422
200677_at	1323.9	P	0.000244141
200678_x_at	1423.93	P	0.000244141
200679_x_at	1584.24	P	0.000244141
200680_x_at	4623.33	P	0.000244141
200681_at	677.113	P	0.000244141
200682_s_at	1357.52	P	0.000244141
200683_s_at	539.63	P	0.000244141
200684_s_at	243.758	P	0.000244141
200685_at	552.855	P	0.000244141
200686_s_at	3789.48	P	0.000244141
200687_s_at	331.576	P	0.000244141
200688_at	53.6344	P	0.0239258
200689_x_at	7649	P	0.000244141
200690_at	91.5	P	0.00585938
200691_s_at	728.344	P	0.000244141
200692_s_at	439.759	P	0.000244141
200693_at	1634.47	P	0.000244141
200694_s_at	810.545	P	0.000244141
200695_at	278.98	P	0.00292969
200696_s_at	358.263	P	0.000732422
200697_at	613.479	P	0.000244141
200698_at	295.498	P	0.000244141
200699_at	207.758	P	0.000244141
200700_s_at	619.979	P	0.000244141
200701_at	1517.64	P	0.000244141
200702_s_at	217.212	P	0.000244141
200703_at	1826.44	P	0.000244141
200704_at	2498.36	P	0.000244141
200705_s_at	7324.49	P	0.000244141
200706_s_at	2465.69	P	0.000244141
200707_at	442.397	P	0.000244141
200708_at	359.952	P	0.000244141
200709_at	1586.09	P	0.000244141
200710_at	554.928	P	0.000244141
200711_s_at	509.007	P	0.000244141
200712_s_at	441.081	P	0.000244141
200713_s_at	1034.57	P	0.000244141
200714_x_at	767.484	P	0.000244141
200715_x_at	6513.77	P	0.000244141
200716_x_at	12909	P	0.000244141
200717_x_at	12646.8	P	0.000244141
200718_s_at	4417.91	P	0.000244141
200719_at	389.765	P	0.000244141
200720_s_at	275.985	P	0.000244141
200721_s_at	242.814	P	0.000732422
200722_s_at	415.106	P	0.000244141
200723_s_at	1502.6	P	0.000244141
200724_at	14.232	A	0.19458
200725_x_at	8181.01	P	0.000244141
200726_at	2562.74	P	0.000244141
200727_s_at	887.087	P	0.000732422
200728_at	4126.85	P	0.000244141
200729_s_at	3484.72	P	0.000244141
200730_s_at	194.008	P	0.000244141
200731_s_at	180.003	P	0.00195313
200732_s_at	399.822	P	0.000244141
200733_s_at	375.445	P	0.000732422
200734_s_at	316.662	P	0.000732422
200735_x_at	9570.89	P	0.000244141
200736_s_at	3049.77	P	0.000244141
200737_at	614.039	P	0.000244141
200738_s_at	3273.98	P	0.000244141
200739_s_at	274	P	0.000244141
200740_s_at	943.924	P	0.000244141
200741_s_at	12918.3	P	0.000244141
200742_s_at	1050.38	P	0.000244141
200743_s_at	1774.03	P	0.000244141
200744_s_at	885.885	P	0.000244141
200745_s_at	1455.42	P	0.000244141
200746_s_at	1545.46	P	0.000244141
200747_s_at	522.921	P	0.000244141
200748_s_at	9720.73	P	0.000244141
200749_at	361.222	P	0.000244141
200750_s_at	2191.6	P	0.000244141
200751_s_at	1581.82	P	0.000244141
200752_s_at	156.069	P	0.00195313
200753_x_at	859.1	P	0.000244141
200754_x_at	2284.21	P	0.000244141
200755_s_at	114.331	P	0.000244141
200756_x_at	82.8557	P	0.0185547
200757_s_at	172.323	P	0.000732422
200758_s_at	190.651	P	0.00195313
200759_x_at	254.738	P	0.000732422
200760_s_at	3092.68	P	0.000244141
200761_s_at	3763.97	P	0.000244141
200762_at	968.826	P	0.000244141
200763_s_at	11346.8	P	0.000244141
200764_s_at	219.566	P	0.000244141
200765_x_at	338.754	P	0.000244141
200766_at	250.228	P	0.00195313
200767_s_at	181.561	P	0.000244141
200768_s_at	958.438	P	0.000244141
200769_s_at	235.418	P	0.000732422
200770_s_at	35.086	P	0.0107422
200771_at	39.3956	A	0.129639
200772_x_at	4462.61	P	0.000244141
200773_x_at	5385.51	P	0.000244141
200774_at	2263.93	P	0.000244141
200775_s_at	4244.43	P	0.000244141
200776_s_at	1004.9	P	0.000244141
200777_s_at	991.845	P	0.000244141
200778_s_at	921.373	P	0.000244141
200779_at	1229.8	P	0.000244141
200780_x_at	5808.34	P	0.000244141
200781_s_at	9798.84	P	0.000244141
200782_at	820.565	P	0.000244141
200783_s_at	92.3848	P	0.00195313
200784_s_at	17.1924	A	0.129639
200785_s_at	90.1988	P	0.00585938
200786_at	794.8	P	0.000244141
200787_s_at	172.435	P	0.000244141
200788_s_at	620.921	P	0.000732422
200789_at	471.749	P	0.00415039
200790_at	924.256	P	0.000244141
200791_s_at	2212.25	P	0.000244141
200792_at	1668.46	P	0.000732422
200793_s_at	423.828	P	0.00585938
200794_x_at	5224.45	P	0.000244141
200795_at	1.10363	A	0.932373
200796_s_at	514.417	P	0.000244141
200797_s_at	5338.38	P	0.000244141
200798_x_at	2442.05	P	0.000244141
200799_at	1938.74	P	0.000244141
200800_s_at	767.786	P	0.000244141
200801_x_at	14916.8	P	0.000244141
200802_at	671.785	P	0.000244141
200803_s_at	1912.35	P	0.000244141
200804_at	2067.91	P	0.000244141
200805_at	328.925	P	0.000244141
200806_s_at	910.228	P	0.000244141
200807_s_at	2057.31	P	0.000244141
200808_s_at	758.758	P	0.000244141
200809_x_at	9267.44	P	0.000244141
200810_s_at	1141.22	P	0.000244141
200811_at	769.491	P	0.0012207
200812_at	630.099	P	0.000244141
200813_s_at	417.02	P	0.000732422
200814_at	2150.78	P	0.000244141
200815_s_at	272.003	P	0.000244141
200816_s_at	675.167	P	0.000732422
200817_x_at	12960.9	P	0.000244141
200818_at	1966.75	P	0.000244141
200819_s_at	10471.1	P	0.000244141
200820_at	550.472	P	0.000732422
200821_at	853.023	P	0.000732422
200822_x_at	1174.05	P	0.000244141
200823_x_at	7617.4	P	0.000244141
200824_at	820.55	P	0.000244141
200825_s_at	416.445	P	0.000732422
200826_at	3629.45	P	0.000244141
200827_at	136.648	P	0.00292969
200828_s_at	1745.83	P	0.000244141
200829_x_at	927.458	P	0.000244141
200830_at	507.687	P	0.000244141
200831_s_at	38.3735	A	0.398926
200832_s_at	30.5827	P	0.00195313
200833_s_at	4819.01	P	0.000244141
200834_s_at	11380.3	P	0.000244141
200835_s_at	6.36267	A	0.72583
200836_s_at	103.877	A	0.19458
200837_at	747.056	P	0.000244141
200838_at	1078.4	P	0.000244141
200839_s_at	1333.76	P	0.000244141
200840_at	2509.47	P	0.000244141
200841_s_at	194.536	P	0.000732422
200842_s_at	480.729	P	0.000244141
200843_s_at	430.599	P	0.000244141
200844_s_at	1082.72	P	0.000244141
200845_s_at	1082.18	P	0.000244141
200846_s_at	1886.95	P	0.000244141
200847_s_at	4630.75	P	0.000244141
200848_at	214.248	P	0.000244141
200849_s_at	300.551	P	0.0012207
200850_s_at	1011.88	P	0.000244141
200851_s_at	1175.26	P	0.000244141
200852_x_at	763.782	P	0.00195313
200853_at	1588.99	P	0.000244141
200854_at	471.836	P	0.000244141
200855_at	208.115	P	0.000244141
200856_x_at	149.443	P	0.000244141
200857_s_at	262.471	P	0.0012207
200858_s_at	8366.46	P	0.000244141
200859_x_at	1716.74	P	0.000732422
200860_s_at	899.375	P	0.000244141
200861_at	323.912	P	0.000732422
200862_at	28.4506	P	0.0185547
200863_s_at	1417.87	P	0.000244141
200864_s_at	256.913	P	0.000244141
200865_at	1.49783	A	0.888428
200866_s_at	3820.7	P	0.000244141
200867_at	421.929	P	0.000244141
200868_s_at	360.606	P	0.000732422
200869_at	12115	P	0.000244141
200870_at	875.096	P	0.000244141
200871_s_at	6105.72	P	0.000244141
200872_at	2848.17	P	0.000244141
200873_s_at	1378.62	P	0.000244141
200874_s_at	134.689	P	0.000244141
200875_s_at	725.349	P	0.000244141
200876_s_at	1344.71	P	0.000244141
200877_at	1598.62	P	0.000244141
200878_at	36.1963	P	0.000732422
200879_s_at	8.50909	A	0.5
200880_at	736.643	P	0.000244141
200881_s_at	1485.81	P	0.000244141
200882_s_at	813.79	P	0.000244141
200883_at	932.062	P	0.000244141
200884_at	26.3863	A	0.466064
200885_at	328.343	P	0.00195313
200886_s_at	1752.44	P	0.000244141
200887_s_at	1840.26	P	0.000244141
200888_s_at	8637.82	P	0.000244141
200889_s_at	550.999	P	0.000244141
200890_s_at	427.081	P	0.000244141
200891_s_at	2709.45	P	0.000244141
200892_s_at	997.937	P	0.000244141
200893_at	1971.74	P	0.000244141
200894_s_at	103.942	P	0.00292969
200895_s_at	150.88	P	0.00805664
200896_x_at	570.305	P	0.00195313
200897_s_at	119.705	P	0.000244141
200898_s_at	703.393	P	0.000244141
200899_s_at	1233.24	P	0.000244141
200900_s_at	726.359	P	0.000244141
200901_s_at	970.773	P	0.000244141
200902_at	1744.93	P	0.000244141
200903_s_at	173.676	P	0.000244141
200904_at	4294.48	P	0.000244141
200905_x_at	8107.54	P	0.000244141
200906_s_at	14.1463	A	0.27417
200907_s_at	74.7143	P	0.00195313
200908_s_at	73.4785	P	0.0141602
200909_s_at	13557.8	P	0.000244141
200910_at	855.017	P	0.000244141
200911_s_at	1460.68	P	0.000244141
200912_s_at	5775.92	P	0.000244141
200913_at	172.851	P	0.000732422
200914_x_at	716.831	P	0.000244141
200915_x_at	936.18	P	0.000244141
200916_at	2715.42	P	0.000244141
200917_s_at	248.632	P	0.0107422
200918_s_at	936.352	P	0.000244141
200919_at	506.122	P	0.00585938
200920_s_at	7867.77	P	0.000244141
200921_s_at	6258.28	P	0.000244141
200922_at	173.088	P	0.000244141
200923_at	275.802	P	0.00415039
200924_s_at	158.032	P	0.000732422
200925_at	1964.06	P	0.000244141
200926_at	15662.2	P	0.000244141
200927_s_at	469.28	P	0.000244141
200928_s_at	26.5076	P	0.000244141
200929_at	734.927	P	0.000244141
200930_s_at	21.8195	A	0.334473
200931_s_at	1016.3	P	0.000244141
200932_s_at	418.737	P	0.0012207
200933_x_at	12614.1	P	0.000244141
200934_at	1877.72	P	0.000244141
200935_at	62.9207	P	0.000244141
200936_at	8458.25	P	0.000244141
200937_s_at	7639.66	P	0.000244141
200938_s_at	10.9325	A	0.246094
200939_s_at	11.5721	A	0.27417
200940_s_at	428.793	P	0.000244141
200941_at	450.858	P	0.000244141
200942_s_at	796.234	P	0.000244141
200943_at	2085.84	P	0.000244141
200944_s_at	1957.38	P	0.000244141
200945_s_at	1203.7	P	0.000244141
200946_x_at	454.66	P	0.000732422
200947_s_at	444.354	P	0.000732422
200948_at	376.802	P	0.000732422
200949_x_at	9756.36	P	0.000244141
200950_at	382.552	P	0.000244141
200951_s_at	106.076	P	0.00292969
200952_s_at	119.62	P	0.000244141
200953_s_at	1673.69	P	0.000244141
200954_at	506.621	A	0.129639
200955_at	594.759	P	0.000244141
200956_s_at	213.867	P	0.000244141
200957_s_at	294.351	P	0.000244141
200958_s_at	3078.01	P	0.000244141
200959_at	676.45	P	0.000244141
200960_x_at	1222.77	P	0.00195313
200961_at	525.675	P	0.0012207
200962_at	518.605	P	0.000732422
200963_x_at	14054.1	P	0.000244141
200964_at	1027.95	P	0.000244141
200965_s_at	1918.78	P	0.000244141
200966_x_at	3039.37	P	0.000244141
200967_at	2461.27	P	0.000244141
200968_s_at	1385.36	P	0.000244141
200969_at	615.982	P	0.000244141
200970_s_at	824.805	P	0.000732422
200971_s_at	2724.63	P	0.000244141
200972_at	400.704	P	0.0012207
200973_s_at	212.278	P	0.000244141
200974_at	84.0699	P	0.00292969
200975_at	2328.77	P	0.000244141
200976_s_at	1172.31	P	0.000244141
200977_s_at	1174.9	P	0.000244141
200978_at	1082.32	P	0.000244141
200979_at	156.966	P	0.000244141
200980_s_at	391.042	P	0.000244141
200981_x_at	5200.75	P	0.000244141
200982_s_at	1839.36	P	0.000244141
200983_x_at	248.03	P	0.000244141
200984_s_at	243.766	P	0.000244141
200985_s_at	248.125	P	0.000244141
200986_at	24.0511	P	0.0375977
200987_x_at	256.215	P	0.0012207
200988_s_at	101.187	P	0.00195313
200989_at	1777.26	P	0.000244141
200990_at	830.352	P	0.000732422
200991_s_at	726.596	P	0.000732422
200992_at	626.504	P	0.000244141
200993_at	728.636	P	0.000244141
200994_at	540.129	P	0.000244141
200995_at	205.95	P	0.00292969
200996_at	3246.34	P	0.000244141
200997_at	722.183	P	0.000244141
200998_s_at	179.176	P	0.000732422
200999_s_at	234.276	P	0.000244141
201000_at	407.406	P	0.00805664
201001_s_at	740.953	P	0.000244141
201002_s_at	1271.69	P	0.000244141
201003_x_at	430.321	P	0.000244141
201004_at	2003.86	P	0.000244141
201005_at	271.683	P	0.000244141
201006_at	30.3726	A	0.0805664
201007_at	951.593	P	0.000244141
201008_s_at	8894.37	P	0.000244141
201009_s_at	8420.07	P	0.000244141
201010_s_at	9143.59	P	0.000244141
201011_at	566.12	P	0.000244141
201012_at	3583.04	P	0.000244141
