ID_REF	VALUE	ABS_CALL	DETECTION P-VALUE
200049_at	265.17	P	0.000244141
200050_at	1045.26	P	0.0012207
200051_at	363.94	P	0.000244141
200052_s_at	792.881	P	0.000244141
200053_at	649.752	P	0.000732422
200054_at	128.114	P	0.000244141
200055_at	1207.47	P	0.000244141
200056_s_at	520.972	P	0.000244141
200057_s_at	3571.79	P	0.000244141
200058_s_at	1391.4	P	0.000244141
200059_s_at	6081.19	P	0.000244141
200060_s_at	1553.96	P	0.000244141
200061_s_at	9549.46	P	0.000244141
200062_s_at	12940.6	P	0.000244141
200063_s_at	7400.53	P	0.000244141
200064_at	2830.61	P	0.000244141
200065_s_at	2994.8	P	0.000244141
200066_at	888.78	P	0.000244141
200067_x_at	1973.95	P	0.000732422
200068_s_at	1704.1	P	0.000244141
200069_at	401.832	P	0.000244141
200070_at	337.703	P	0.000244141
200071_at	963.65	P	0.000244141
200072_s_at	1813.56	P	0.000244141
200073_s_at	2293.66	P	0.000244141
200074_s_at	6410.7	P	0.000244141
200075_s_at	820.348	P	0.000244141
200076_s_at	382.94	P	0.0012207
200077_s_at	7975.9	P	0.000244141
200078_s_at	1061.86	P	0.000244141
200079_s_at	1469.75	P	0.000244141
200080_s_at	7399.52	P	0.000244141
200081_s_at	11434.8	P	0.000244141
200082_s_at	8834.91	P	0.000244141
200083_at	529.091	P	0.000244141
200084_at	1422.26	P	0.000244141
200085_s_at	1822.32	P	0.000244141
200086_s_at	3625.4	P	0.000244141
200087_s_at	1898.83	P	0.000244141
200088_x_at	10848.9	P	0.000244141
200089_s_at	8024.1	P	0.000244141
200090_at	2432.99	P	0.000244141
200091_s_at	8384.01	P	0.000244141
200092_s_at	10822.8	P	0.000244141
200093_s_at	2441.78	P	0.000244141
200094_s_at	8009.3	P	0.000244141
200095_x_at	13192	P	0.000244141
200096_s_at	2681.88	P	0.000244141
200097_s_at	2468.19	P	0.000244141
200098_s_at	1701.41	P	0.000244141
200099_s_at	13851.5	P	0.000244141
200593_s_at	1290.51	P	0.000244141
200594_x_at	2281.41	P	0.000244141
200595_s_at	1832.68	P	0.000244141
200596_s_at	772.747	P	0.000244141
200597_at	321.537	P	0.000244141
200598_s_at	818.061	P	0.000244141
200599_s_at	2299.67	P	0.000244141
200600_at	3342.45	P	0.000244141
200601_at	280.93	P	0.0012207
200602_at	160.755	P	0.000244141
200603_at	2028.32	P	0.000244141
200604_s_at	1090.18	P	0.000244141
200605_s_at	2219.03	P	0.000244141
200606_at	153.388	P	0.000244141
200607_s_at	720.079	P	0.000244141
200608_s_at	1875.44	P	0.000244141
200609_s_at	2389.34	P	0.000244141
200610_s_at	2176.68	P	0.000244141
200611_s_at	2052.59	P	0.000244141
200612_s_at	449.484	P	0.000244141
200613_at	1173.11	P	0.000244141
200614_at	2356.91	P	0.000244141
200615_s_at	283.62	P	0.000244141
200616_s_at	287.584	P	0.000732422
200617_at	262.087	P	0.000244141
200618_at	1604.68	P	0.000244141
200619_at	597.14	P	0.00585938
200620_at	2094.76	P	0.000244141
200621_at	316.64	P	0.000244141
200622_x_at	484.573	P	0.000244141
200623_s_at	434.711	P	0.000244141
200624_s_at	1733.75	P	0.000244141
200625_s_at	4599.01	P	0.000244141
200626_s_at	2413.36	P	0.000244141
200627_at	3873.44	P	0.000244141
200628_s_at	539.892	P	0.0107422
200629_at	788.7	P	0.000244141
200630_x_at	2648.76	P	0.000244141
200631_s_at	1977.85	P	0.000244141
200632_s_at	475.751	P	0.0012207
200633_at	8370.76	P	0.000244141
200634_at	5147.15	P	0.000244141
200635_s_at	4.64604	A	0.601074
200636_s_at	2.31191	A	0.904785
200637_s_at	5.69511	A	0.601074
200638_s_at	3759	P	0.000244141
200639_s_at	3224.59	P	0.000244141
200640_at	3224.73	P	0.000244141
200641_s_at	3206.6	P	0.000244141
200642_at	2625.2	P	0.000244141
200643_at	201.499	P	0.00195313
200644_at	590.157	P	0.000244141
200645_at	3617.73	P	0.000244141
200646_s_at	201.976	P	0.00292969
200647_x_at	2624.55	P	0.000244141
200648_s_at	518.678	P	0.00292969
200649_at	294.484	P	0.000244141
200650_s_at	2565.68	P	0.000244141
200651_at	9028.23	P	0.000244141
200652_at	2204.91	P	0.000244141
200653_s_at	5733.23	P	0.000244141
200654_at	1419.67	P	0.00585938
200655_s_at	4371.66	P	0.000244141
200656_s_at	678.326	P	0.000732422
200657_at	3102.37	P	0.000244141
200658_s_at	489.909	P	0.000244141
200659_s_at	178.753	P	0.000244141
200660_at	2088.92	P	0.000732422
200661_at	1015.01	P	0.000244141
200662_s_at	1422.5	P	0.000244141
200663_at	1184.38	P	0.000244141
200664_s_at	559.304	P	0.000732422
200665_s_at	457.621	P	0.000244141
200666_s_at	812.939	P	0.000244141
200667_at	1400.8	P	0.000244141
200668_s_at	3756.67	P	0.000244141
200669_s_at	2072.79	P	0.000244141
200670_at	989.744	P	0.000244141
200671_s_at	179.909	P	0.0107422
200672_x_at	314.884	P	0.000244141
200673_at	1852.3	P	0.000244141
200674_s_at	9787.91	P	0.000244141
200675_at	1316.74	P	0.000244141
200676_s_at	185.856	P	0.000244141
200677_at	1568.73	P	0.000244141
200678_x_at	1929.48	P	0.000244141
200679_x_at	1863.3	P	0.000244141
200680_x_at	5025.27	P	0.000244141
200681_at	786.578	P	0.000244141
200682_s_at	1497.74	P	0.000244141
200683_s_at	690.355	P	0.000244141
200684_s_at	328.824	P	0.000244141
200685_at	644.996	P	0.000244141
200686_s_at	3285.9	P	0.000244141
200687_s_at	336.735	P	0.000244141
200688_at	55.01	P	0.0141602
200689_x_at	7805.09	P	0.000244141
200690_at	96.6662	P	0.000732422
200691_s_at	855.508	P	0.000244141
200692_s_at	523.341	P	0.000244141
200693_at	1997.72	P	0.000244141
200694_s_at	898.426	P	0.000244141
200695_at	245.864	P	0.000244141
200696_s_at	316.704	P	0.00195313
200697_at	836.658	P	0.000244141
200698_at	297.696	P	0.000244141
200699_at	186.405	P	0.000244141
200700_s_at	668.883	P	0.000244141
200701_at	1673.5	P	0.000244141
200702_s_at	309.422	P	0.000244141
200703_at	1763.84	P	0.000244141
200704_at	2118.11	P	0.000244141
200705_s_at	7253	P	0.000244141
200706_s_at	1895.76	P	0.000244141
200707_at	422.438	P	0.000244141
200708_at	321.992	P	0.000244141
200709_at	1621.11	P	0.000244141
200710_at	523.932	P	0.000244141
200711_s_at	450.186	P	0.000244141
200712_s_at	558.324	P	0.000244141
200713_s_at	1135.64	P	0.000244141
200714_x_at	839.38	P	0.000244141
200715_x_at	6652.37	P	0.000244141
200716_x_at	12919	P	0.000244141
200717_x_at	12806.7	P	0.000244141
200718_s_at	4257.88	P	0.000244141
200719_at	354.22	P	0.000244141
200720_s_at	351.63	P	0.000244141
