ID_REF	VALUE	ABS_CALL	DETECTION P-VALUE
200050_at	380.39	P	0.0012207
200051_at	169.645	P	0.000244141
200052_s_at	529.789	P	0.000244141
200053_at	443.88	P	0.000732422
200054_at	67.6317	P	0.0185547
200055_at	921.094	P	0.000244141
200056_s_at	242.98	P	0.000244141
200057_s_at	2215.4	P	0.000244141
200058_s_at	807.121	P	0.000244141
200059_s_at	4774.3	P	0.000244141
200060_s_at	894.452	P	0.000732422
200061_s_at	7957.96	P	0.000244141
200062_s_at	10563.4	P	0.000244141
200063_s_at	5109.34	P	0.000244141
200064_at	1797.78	P	0.000244141
200065_s_at	2721.49	P	0.000244141
200066_at	755.229	P	0.000244141
200067_x_at	1639.85	P	0.000244141
200068_s_at	1232.91	P	0.000244141
200069_at	175.374	P	0.000244141
200070_at	231.588	P	0.000244141
200071_at	411.625	P	0.000244141
200072_s_at	1057.29	P	0.000244141
200073_s_at	1407.9	P	0.000244141
200074_s_at	4929.97	P	0.000244141
200075_s_at	538.584	P	0.000244141
200076_s_at	242.925	P	0.000244141
200077_s_at	7437.03	P	0.000244141
200078_s_at	713.791	P	0.000244141
200079_s_at	765.018	P	0.000244141
200080_s_at	6823.48	P	0.000244141
200081_s_at	9680.19	P	0.000244141
200082_s_at	7268.19	P	0.000244141
200083_at	305.861	P	0.000244141
200084_at	1057.99	P	0.000244141
200085_s_at	913.081	P	0.000244141
200086_s_at	2282.11	P	0.000244141
200087_s_at	1190.63	P	0.000244141
200088_x_at	7601.7	P	0.000244141
200089_s_at	5751.19	P	0.000244141
200090_at	1249.25	P	0.000244141
200091_s_at	7370.25	P	0.000244141
200092_s_at	9242.51	P	0.000244141
200093_s_at	1534.06	P	0.000244141
200094_s_at	5620.86	P	0.000244141
200095_x_at	9351.94	P	0.000244141
200096_s_at	2601.05	P	0.000244141
200097_s_at	2007.36	P	0.000244141
200098_s_at	1032.41	P	0.000244141
200099_s_at	11540.1	P	0.000244141
200593_s_at	802.565	P	0.000244141
200594_x_at	1521.15	P	0.000244141
200595_s_at	842.148	P	0.000244141
200596_s_at	429.599	P	0.000244141
200597_at	197.244	P	0.000244141
200598_s_at	687.253	P	0.000244141
200599_s_at	1179.1	P	0.000244141
200600_at	2765.45	P	0.000244141
200601_at	231.718	P	0.00195313
200602_at	240.092	P	0.000244141
200603_at	1882.73	P	0.000244141
200604_s_at	831.45	P	0.000244141
200605_s_at	2139.49	P	0.000244141
200606_at	133.626	P	0.000244141
200607_s_at	481.472	P	0.000732422
200608_s_at	1069.35	P	0.000244141
200609_s_at	1966.91	P	0.000244141
200610_s_at	1563.55	P	0.000244141
200611_s_at	1432.48	P	0.000244141
200612_s_at	317.542	P	0.000732422
200613_at	935.66	P	0.000244141
200614_at	1242.42	P	0.000244141
200615_s_at	191.702	P	0.000244141
200616_s_at	78.2084	P	0.00292969
200617_at	125.916	P	0.00292969
200618_at	1040.21	P	0.000244141
200619_at	347.707	P	0.0141602
200620_at	1236.69	P	0.000244141
200621_at	286.028	P	0.000244141
200622_x_at	934.4	P	0.000244141
200623_s_at	440.246	P	0.000244141
200624_s_at	1319.22	P	0.000244141
200625_s_at	2662.9	P	0.000244141
200626_s_at	1789.71	P	0.000244141
200627_at	2424.36	P	0.000244141
200628_s_at	397.219	P	0.0141602
200629_at	454.473	P	0.000244141
200630_x_at	1324.67	P	0.000244141
200631_s_at	1081.98	P	0.000244141
200632_s_at	278.82	P	0.000244141
200633_at	7673.95	P	0.000244141
200634_at	3220.28	P	0.000244141
200635_s_at	3.58026	A	0.633789
200636_s_at	13.0481	A	0.466064
200637_s_at	11.6976	A	0.5
200638_s_at	2994.77	P	0.000244141
200639_s_at	3386.21	P	0.000244141
200640_at	3212.13	P	0.000244141
200641_s_at	3239.9	P	0.000244141
200642_at	1572.37	P	0.000244141
