ID_REF	VALUE	ABS_CALL	DETECTION P-VALUE
200049_at	139.051	P	0.000244141
200050_at	496.086	P	0.000244141
200051_at	116.875	P	0.000244141
200052_s_at	473.911	P	0.000244141
200053_at	301.579	P	0.000244141
200054_at	83.4848	P	0.00415039
200055_at	468.221	P	0.000244141
200056_s_at	222.24	P	0.000244141
200057_s_at	1919.02	P	0.000244141
200058_s_at	625.916	P	0.000244141
200059_s_at	4325.24	P	0.000244141
200060_s_at	711.264	P	0.000244141
200061_s_at	7794.2	P	0.000244141
200062_s_at	9941.08	P	0.000244141
200063_s_at	6793.34	P	0.000244141
200064_at	1595.13	P	0.000244141
200065_s_at	1690.74	P	0.000244141
200066_at	758.477	P	0.000244141
200067_x_at	1196.31	P	0.000244141
200068_s_at	1105.89	P	0.000244141
200069_at	205.264	P	0.000244141
200070_at	128.949	P	0.0012207
200071_at	466.791	P	0.000244141
200072_s_at	878.931	P	0.000244141
200073_s_at	1480.69	P	0.000244141
200074_s_at	4835.91	P	0.000244141
200075_s_at	452.92	P	0.000244141
200076_s_at	172.084	P	0.00292969
200077_s_at	5683.76	P	0.000244141
200078_s_at	674.101	P	0.000244141
200079_s_at	849.536	P	0.000244141
200080_s_at	5050.85	P	0.000244141
200081_s_at	8714.15	P	0.000244141
200082_s_at	6749.77	P	0.000244141
200083_at	289.063	P	0.000244141
200084_at	1082.73	P	0.000244141
200085_s_at	1274.17	P	0.000244141
200086_s_at	2202.18	P	0.000244141
200087_s_at	1544.17	P	0.000244141
200088_x_at	8196.48	P	0.000244141
200089_s_at	5788.33	P	0.000244141
200090_at	1049.08	P	0.000244141
200091_s_at	6571.65	P	0.000244141
200092_s_at	8694.15	P	0.000244141
200093_s_at	1428.63	P	0.000244141
200094_s_at	3309.59	P	0.000244141
200095_x_at	7577.37	P	0.000244141
200096_s_at	2280.38	P	0.000244141
200097_s_at	1809.99	P	0.000244141
200098_s_at	879.931	P	0.000732422
200099_s_at	10165.2	P	0.000244141
200593_s_at	765.837	P	0.000244141
200594_x_at	1373.13	P	0.000244141
200595_s_at	833.302	P	0.000244141
200596_s_at	567.655	P	0.000244141
200597_at	212.913	P	0.000244141
200598_s_at	645.062	P	0.000244141
200599_s_at	1197.79	P	0.000244141
200600_at	2409.87	P	0.000244141
200601_at	112.554	P	0.000244141
200602_at	172.385	P	0.000244141
200603_at	1079.78	P	0.000244141
200604_s_at	685.953	P	0.000244141
200605_s_at	1777.06	P	0.000244141
200606_at	76.2526	P	0.000732422
200607_s_at	512.022	P	0.000244141
200608_s_at	1285.11	P	0.000244141
200609_s_at	1778.33	P	0.000244141
200610_s_at	1568.99	P	0.000244141
200611_s_at	815.909	P	0.000244141
200612_s_at	193.134	P	0.000244141
200613_at	543.937	P	0.000244141
200614_at	1578.15	P	0.000244141
200615_s_at	164.058	P	0.000244141
200616_s_at	87.6572	P	0.000244141
200617_at	168.192	P	0.000244141
200618_at	1051.99	P	0.000244141
200619_at	259.495	P	0.0107422
200620_at	1994.69	P	0.000244141
200621_at	148.852	P	0.000244141
200622_x_at	352.429	P	0.000244141
200623_s_at	209.827	P	0.000244141
200624_s_at	1278.15	P	0.000244141
200625_s_at	2551.24	P	0.000244141
200626_s_at	1497.99	P	0.000244141
200627_at	2775.1	P	0.000244141
200628_s_at	488.993	P	0.00415039
200629_at	675.942	P	0.000244141
200630_x_at	1582.85	P	0.000244141
200631_s_at	1377.46	P	0.000244141
200632_s_at	191.713	P	0.000244141
200633_at	6660.07	P	0.000244141
200634_at	1948.47	P	0.000244141
200635_s_at	1.62753	A	0.850342
200636_s_at	2.13584	A	0.72583
200637_s_at	4.02183	A	0.870361
200638_s_at	2253.07	P	0.000244141
200639_s_at	2747.42	P	0.000244141
200640_at	2150.38	P	0.000244141
200641_s_at	2197.67	P	0.000244141
200642_at	1719.38	P	0.000244141
200643_at	101.915	P	0.00292969
200644_at	147.714	P	0.000244141
200645_at	2083.57	P	0.000244141
200646_s_at	60.3453	P	0.00585938
200647_x_at	1344.76	P	0.000732422
200648_s_at	500.167	P	0.000732422
200649_at	72.684	P	0.000244141
200650_s_at	1938.74	P	0.000244141
200651_at	6966.22	P	0.000244141
200652_at	1378.34	P	0.000244141
200653_s_at	4790.07	P	0.000244141
200654_at	536.326	P	0.0141602
200655_s_at	2227.99	P	0.000244141
200656_s_at	286.143	P	0.000732422
200657_at	2044.8	P	0.000244141
200658_s_at	354.349	P	0.000244141
200659_s_at	103.914	P	0.000244141
200660_at	975.393	P	0.000732422
200661_at	441.064	P	0.000244141
200662_s_at	1193.58	P	0.000244141
200663_at	1015.39	P	0.000244141
200664_s_at	329.549	P	0.000732422
200665_s_at	661.804	P	0.000244141
200666_s_at	403.127	P	0.000244141
200667_at	1125.1	P	0.000244141
200668_s_at	3045.86	P	0.000244141
200669_s_at	1706.85	P	0.000244141
200670_at	596.453	P	0.000244141
200671_s_at	55.9991	A	0.0805664
200672_x_at	106.784	P	0.000244141
200673_at	2022.68	P	0.000244141
200674_s_at	7928.32	P	0.000244141
200675_at	326.719	P	0.000244141
200676_s_at	95.8624	P	0.0012207
200677_at	830.513	P	0.000244141
200678_x_at	487.22	P	0.000244141
200679_x_at	1825.01	P	0.000244141
200680_x_at	4719.15	P	0.000244141
200681_at	746.909	P	0.000244141
200682_s_at	1526.62	P	0.000244141
200683_s_at	380.937	P	0.000244141
200684_s_at	202.821	P	0.0012207
200685_at	550.788	P	0.000244141
200686_s_at	2224.66	P	0.000244141
200687_s_at	202.873	P	0.0012207
200688_at	53.7322	P	0.0185547
200689_x_at	5536.32	P	0.000244141
200690_at	85.6497	P	0.00195313
200691_s_at	536.447	P	0.000244141
200692_s_at	269.531	P	0.000244141
200693_at	1556.81	P	0.000244141
200694_s_at	442.462	P	0.000244141
200695_at	166.587	P	0.00585938
200696_s_at	140.087	P	0.00195313
200697_at	457.53	P	0.000244141
200698_at	164.107	P	0.000244141
200699_at	87.0927	P	0.000732422
200700_s_at	307.359	P	0.000244141
200701_at	1435.79	P	0.000244141
200702_s_at	126.629	P	0.000244141
200703_at	1181.65	P	0.000244141
200704_at	1249.7	P	0.000244141
200705_s_at	5285.6	P	0.000244141
200706_s_at	1128.62	P	0.000244141
200707_at	89.2407	P	0.0107422
200708_at	197.874	P	0.000244141
200709_at	952.923	P	0.000244141
200710_at	236.843	P	0.000244141
200711_s_at	556.171	P	0.000244141
200712_s_at	394.754	P	0.000244141
200713_s_at	948.452	P	0.000244141
200714_x_at	455.835	P	0.000732422
200715_x_at	5725.19	P	0.000244141
200716_x_at	10207	P	0.000244141
200717_x_at	9846.1	P	0.000244141
200718_s_at	3227.74	P	0.000244141
200719_at	338.421	P	0.000244141
200720_s_at	185.422	P	0.000244141
200721_s_at	120.006	P	0.0012207
200722_s_at	364.784	P	0.000244141
200723_s_at	1062.7	P	0.000244141
200724_at	20.12	P	0.0461426
200725_x_at	6629.42	P	0.000244141
200726_at	2071.99	P	0.000244141
200727_s_at	1328.19	P	0.000244141
200728_at	3933.43	P	0.000244141
200729_s_at	3168.2	P	0.000244141
200730_s_at	268.306	P	0.000244141
200731_s_at	295.509	P	0.000732422
200732_s_at	499.341	P	0.000244141
200733_s_at	223.038	P	0.000244141
200734_s_at	197.335	P	0.000244141
200735_x_at	7968.98	P	0.000244141
200736_s_at	2559.19	P	0.000244141
200737_at	548.744	P	0.000732422
200738_s_at	2743.73	P	0.000244141
200739_s_at	215.421	P	0.000244141
200740_s_at	684.624	P	0.000244141
200741_s_at	9716.97	P	0.000244141
200742_s_at	589.723	P	0.000244141
200743_s_at	1055.17	P	0.000244141
200744_s_at	536.502	P	0.000244141
200745_s_at	1281.87	P	0.000244141
200746_s_at	1121.95	P	0.000244141
200747_s_at	160.502	P	0.000244141
200748_s_at	8920.74	P	0.000244141
200749_at	295.97	P	0.000244141
200750_s_at	1660.13	P	0.000244141
200751_s_at	1155.58	P	0.000244141
200752_s_at	65.9975	P	0.00805664
200753_x_at	581.574	P	0.000244141
200754_x_at	1554.45	P	0.000244141
200755_s_at	77.2221	P	0.000244141
200756_x_at	81.6292	P	0.000732422
200757_s_at	112	P	0.0012207
200758_s_at	124.977	P	0.00195313
200759_x_at	141.365	P	0.000732422
200760_s_at	3371.41	P	0.000244141
200761_s_at	3219.11	P	0.000244141
200762_at	873.348	P	0.000244141
200763_s_at	8002.69	P	0.000244141
200764_s_at	165.621	P	0.000732422
200765_x_at	234.95	P	0.000244141
200766_at	57.541	P	0.0461426
200767_s_at	92.4868	P	0.000244141
200768_s_at	703.362	P	0.000244141
200769_s_at	111.188	P	0.0012207
200770_s_at	22.3502	P	0.0375977
200771_at	49.5248	P	0.0185547
200772_x_at	3549.39	P	0.000244141
200773_x_at	3823.64	P	0.000244141
200774_at	1874.47	P	0.000244141
200775_s_at	2785.47	P	0.000244141
200776_s_at	1005.58	P	0.000244141
200777_s_at	998.088	P	0.000244141
200778_s_at	973.29	P	0.000244141
200779_at	1352.81	P	0.000244141
200780_x_at	3352.05	P	0.000244141
200781_s_at	8356.55	P	0.000244141
200782_at	799.887	P	0.000244141
200783_s_at	52.384	P	0.00195313
200784_s_at	33.918	P	0.0302734
200785_s_at	41.509	P	0.00415039
200786_at	801.194	P	0.000244141
200787_s_at	114.97	P	0.000244141
200788_s_at	464.856	P	0.000244141
200789_at	298.246	P	0.0107422
200790_at	777.447	P	0.000244141
200791_s_at	2486.77	P	0.000244141
200792_at	1254.25	P	0.000732422
200793_s_at	229.179	P	0.00195313
200794_x_at	4606	P	0.000244141
200795_at	9.20374	M	0.0561523
200796_s_at	265.312	P	0.00195313
200797_s_at	4085.61	P	0.000244141
200798_x_at	1743.18	P	0.000244141
200799_at	733.18	P	0.000244141
200800_s_at	254.029	P	0.000244141
200801_x_at	9321.07	P	0.000244141
200802_at	386.41	P	0.000244141
200803_s_at	1407.47	P	0.000244141
200804_at	1331.37	P	0.000244141
200805_at	162.191	P	0.000244141
200806_s_at	690.83	P	0.000244141
200807_s_at	1179.48	P	0.000244141
200808_s_at	165.294	P	0.000732422
200809_x_at	7901.49	P	0.000244141
200810_s_at	1198.84	P	0.000244141
200811_at	797.949	P	0.0012207
200812_at	371.619	P	0.000732422
200813_s_at	365.917	P	0.000732422
200814_at	1528.28	P	0.000244141
200815_s_at	203.284	P	0.000244141
200816_s_at	492.648	P	0.000732422
200817_x_at	9015.74	P	0.000244141
200818_at	1226.46	P	0.000244141
200819_s_at	8293.12	P	0.000244141
200820_at	404.291	P	0.000732422
200821_at	529.814	P	0.000732422
200822_x_at	639.151	P	0.000244141
200823_x_at	5435.56	P	0.000244141
200824_at	271.895	P	0.000244141
200825_s_at	196.032	P	0.00195313
200826_at	2302.57	P	0.000244141
200827_at	71.9913	P	0.00415039
200828_s_at	1613.89	P	0.000244141
200829_x_at	925.415	P	0.000244141
200830_at	362.37	P	0.000244141
200831_s_at	33.1572	A	0.171387
200832_s_at	35.4669	P	0.000244141
200833_s_at	4172.95	P	0.000244141
200834_s_at	9541.61	P	0.000244141
200835_s_at	3.69383	A	0.633789
200836_s_at	36.4381	A	0.334473
200837_at	474.492	P	0.000244141
200838_at	511.417	P	0.000244141
200839_s_at	668.331	P	0.000244141
200840_at	2623.78	P	0.000244141
200841_s_at	188.784	P	0.000732422
200842_s_at	464.248	P	0.000244141
200843_s_at	347.838	P	0.000244141
200844_s_at	1061.01	P	0.000244141
200845_s_at	1139.16	P	0.000244141
200846_s_at	906.075	P	0.000244141
200847_s_at	3259.2	P	0.000244141
200848_at	152.314	P	0.000244141
200849_s_at	151.421	P	0.00195313
200850_s_at	577.135	P	0.000244141
200851_s_at	674.018	P	0.000244141
200852_x_at	199.045	P	0.00585938
200853_at	1451.32	P	0.000732422
200854_at	251.84	P	0.000244141
200855_at	108.84	P	0.0012207
200856_x_at	94.6168	P	0.000244141
200857_s_at	206.669	P	0.0012207
200858_s_at	6852.36	P	0.000244141
200859_x_at	435.605	P	0.000732422
200860_s_at	825.196	P	0.000244141
200861_at	223.374	P	0.000732422
200862_at	24.2184	P	0.0239258
200863_s_at	1128.46	P	0.000244141
200864_s_at	205.73	P	0.000244141
200865_at	3.28992	A	0.696289
