ID_REF	VALUE	ABS_CALL	DETECTION P-VALUE
200049_at	261.698	P	0.000244141
200050_at	883.944	P	0.000732422
200051_at	263.374	P	0.000244141
200052_s_at	759.575	P	0.000244141
200053_at	555.646	P	0.000244141
200054_at	159.487	P	0.000732422
200055_at	1066.29	P	0.000244141
200056_s_at	547.939	P	0.000244141
200057_s_at	2827.36	P	0.000244141
200058_s_at	1048.74	P	0.000244141
200059_s_at	5708.8	P	0.000244141
200060_s_at	1164.21	P	0.000244141
200061_s_at	9128.22	P	0.000244141
200062_s_at	10821.8	P	0.000244141
200063_s_at	6244.24	P	0.000244141
200064_at	2449.28	P	0.000244141
200065_s_at	2858.34	P	0.000244141
200066_at	953.273	P	0.000244141
200067_x_at	1690.59	P	0.000244141
200068_s_at	1597.15	P	0.000244141
200069_at	384.065	P	0.000244141
200070_at	300.231	P	0.000244141
200071_at	841.64	P	0.000244141
200072_s_at	1694.85	P	0.000244141
200073_s_at	2033.43	P	0.000244141
200074_s_at	6154.69	P	0.000244141
200075_s_at	693.153	P	0.000244141
200076_s_at	349.599	P	0.000244141
200077_s_at	7613.61	P	0.000244141
200078_s_at	1195.56	P	0.000244141
200079_s_at	1264.02	P	0.000244141
200080_s_at	8544.54	P	0.000244141
200081_s_at	9631.3	P	0.000244141
200082_s_at	6940.64	P	0.000244141
200083_at	465.066	P	0.000244141
200084_at	1443.45	P	0.000244141
200085_s_at	1583.95	P	0.000244141
200086_s_at	2740.25	P	0.000244141
200087_s_at	1554.65	P	0.000244141
200088_x_at	9379.69	P	0.000244141
200089_s_at	6145.76	P	0.000244141
200090_at	2163.91	P	0.000244141
200091_s_at	7646.8	P	0.000244141
200092_s_at	9487.19	P	0.000244141
200093_s_at	1797.32	P	0.000244141
200094_s_at	4846.37	P	0.000244141
200095_x_at	10140.7	P	0.000244141
200096_s_at	3059.18	P	0.000244141
200097_s_at	2258.43	P	0.000244141
200098_s_at	1254.27	P	0.000244141
200099_s_at	11460.5	P	0.000244141
200593_s_at	961.884	P	0.000244141
200594_x_at	2106.59	P	0.000244141
200595_s_at	1397.28	P	0.000244141
200596_s_at	905.954	P	0.000244141
200597_at	337.924	P	0.000244141
200598_s_at	916.061	P	0.000244141
200599_s_at	2150.72	P	0.000244141
200600_at	3353.91	P	0.000244141
200601_at	151.136	P	0.000244141
200602_at	210.247	P	0.000244141
200603_at	2483.03	P	0.000244141
200604_s_at	1186.72	P	0.000244141
200605_s_at	2638.77	P	0.000244141
200606_at	53.4257	P	0.000244141
200607_s_at	628.987	P	0.000244141
200608_s_at	1537.18	P	0.000244141
200609_s_at	1805.09	P	0.000244141
200610_s_at	1840.01	P	0.000244141
200611_s_at	1487.42	P	0.000244141
200612_s_at	438.745	P	0.000244141
200613_at	1205.8	P	0.000244141
200614_at	2200.34	P	0.000244141
200615_s_at	318.095	P	0.000244141
200616_s_at	281.135	P	0.000244141
200617_at	186.757	P	0.000244141
200618_at	1383.54	P	0.000244141
