ID_REF	VALUE	ABS_CALL	DETECTION P-VALUE
200050_at	135.409	P	0.00195313
200051_at	156.207	P	0.000244141
200052_s_at	65.2914	P	0.000244141
200053_at	167.385	P	0.000244141
200054_at	35.8701	M	0.0561523
200055_at	779.434	P	0.000244141
200056_s_at	414.632	P	0.000244141
200057_s_at	773.33	P	0.000244141
200058_s_at	516.254	P	0.000244141
200059_s_at	6357.61	P	0.000244141
200060_s_at	378.847	P	0.000244141
200061_s_at	2830.03	P	0.000244141
200062_s_at	4104.25	P	0.000244141
200063_s_at	1334.6	P	0.000244141
200064_at	255.585	P	0.000732422
200065_s_at	2607.7	P	0.000244141
200066_at	824.336	P	0.000244141
200067_x_at	1105.75	P	0.000244141
200068_s_at	455.841	P	0.000244141
200069_at	87.9361	P	0.000732422
200070_at	222.061	P	0.000244141
200071_at	1028.47	P	0.000244141
200072_s_at	410.028	P	0.000244141
200073_s_at	924.972	P	0.000244141
200074_s_at	735.434	P	0.000244141
200075_s_at	410.863	P	0.000244141
200076_s_at	254.033	P	0.000244141
200077_s_at	8013.9	P	0.000244141
200078_s_at	3639.97	P	0.000244141
200079_s_at	304.21	P	0.000244141
200080_s_at	10339.9	P	0.000244141
200081_s_at	2189.49	P	0.000244141
200082_s_at	1490.82	P	0.000244141
200083_at	307.257	P	0.000732422
200084_at	354.552	P	0.000244141
200085_s_at	1411.61	P	0.000244141
200086_s_at	847.984	P	0.000244141
200087_s_at	921.04	P	0.000244141
200088_x_at	2413.18	P	0.000244141
200089_s_at	894.419	P	0.000244141
200090_at	940.269	P	0.000244141
200091_s_at	1838.17	P	0.000244141
200092_s_at	3914.81	P	0.000244141
200093_s_at	264.263	P	0.000244141
200094_s_at	738.597	P	0.000244141
200095_x_at	3100.64	P	0.000244141
200096_s_at	3499.59	P	0.000244141
200097_s_at	2355.66	P	0.000244141
200098_s_at	342.167	P	0.000244141
200099_s_at	4389.04	P	0.000244141
200593_s_at	637.713	P	0.000244141
200594_x_at	1080.43	P	0.000244141
200595_s_at	404.009	P	0.000244141
200596_s_at	212.378	P	0.000244141
200597_at	69.8151	P	0.000244141
200598_s_at	98.4453	P	0.000244141
200599_s_at	312.785	P	0.000732422
200600_at	4194.08	P	0.000244141
200601_at	643.74	P	0.000244141
200602_at	33.2603	P	0.000732422
