ID_REF	VALUE	ABS_CALL	DETECTION P-VALUE
200050_at	121.679	P	0.000732422
200051_at	178.826	P	0.000244141
200052_s_at	46.3682	P	0.00195313
200053_at	266.925	P	0.000732422
200054_at	41.3507	P	0.0012207
200055_at	1324.85	P	0.000244141
200056_s_at	545.14	P	0.000244141
200057_s_at	942.215	P	0.000244141
200058_s_at	628.668	P	0.000244141
200059_s_at	8225.9	P	0.000244141
200060_s_at	544.087	P	0.000732422
200061_s_at	2007.96	P	0.000244141
200062_s_at	4017.45	P	0.000244141
200063_s_at	664.496	P	0.000732422
200064_at	216.995	P	0.000732422
200065_s_at	4862.65	P	0.000244141
200066_at	565.488	P	0.000244141
200067_x_at	1678.67	P	0.000244141
200068_s_at	567.676	P	0.000244141
200069_at	116.801	P	0.000732422
200070_at	382.652	P	0.000244141
200071_at	1479.84	P	0.000244141
200072_s_at	506.192	P	0.000244141
200073_s_at	665.009	P	0.000244141
200074_s_at	508.469	P	0.000244141
200075_s_at	646.253	P	0.000244141
200076_s_at	494.093	P	0.000244141
200077_s_at	11837.8	P	0.000244141
200078_s_at	7251.53	P	0.000244141
200079_s_at	253.318	P	0.000244141
200080_s_at	14493.1	P	0.000244141
200081_s_at	2531.41	P	0.000244141
200082_s_at	1976.17	P	0.000244141
200083_at	600.304	P	0.000732422
200084_at	377.973	P	0.000244141
200085_s_at	2449.8	P	0.000244141
200086_s_at	1004.17	P	0.000244141
200087_s_at	1585.23	P	0.000244141
200088_x_at	1969.32	P	0.000244141
200089_s_at	667.995	P	0.000244141
200090_at	1391.96	P	0.000244141
200091_s_at	1229.22	P	0.000244141
200092_s_at	3800.09	P	0.000244141
200093_s_at	196.823	P	0.000244141
200094_s_at	667.139	P	0.000244141
200095_x_at	3081.7	P	0.000244141
200096_s_at	4669.98	P	0.000244141
200097_s_at	3724.97	P	0.000244141
200098_s_at	498.692	P	0.000244141
200099_s_at	2447.46	P	0.000244141
200593_s_at	789.178	P	0.000244141
200594_x_at	1637.71	P	0.000244141
